epoch,accuracy,loss,val_accuracy,val_loss
0,0.3623028099536896,1.3307653665542603,0.4005763828754425,1.2830824851989746
1,0.6354829668998718,0.9981094002723694,0.6685879230499268,0.9313696622848511
2,0.7938001751899719,0.5868378281593323,0.6858789920806885,0.8119450807571411
3,0.845557689666748,0.41963696479797363,0.6916426420211792,0.7845885753631592
4,0.8779407739639282,0.33176329731941223,0.6916426420211792,0.8181171417236328
5,0.9028508067131042,0.2709496319293976,0.6916426420211792,0.8539053797721863
6,0.924162745475769,0.22676262259483337,0.6714697480201721,0.9108372926712036
7,0.9380016326904297,0.18877387046813965,0.6772334575653076,0.9681152105331421
8,0.950179934501648,0.16271068155765533,0.6772334575653076,1.0187954902648926
9,0.9576529264450073,0.14072366058826447,0.6599423885345459,1.0911083221435547
10,0.9612510204315186,0.12499260902404785,0.6657060384750366,1.1011654138565063
11,0.9687240719795227,0.11092445254325867,0.6541786789894104,1.168492317199707
12,0.971491813659668,0.10112838447093964,0.6628242135047913,1.2283270359039307
13,0.972875714302063,0.09234654903411865,0.6541786789894104,1.2932101488113403
14,0.9759202599525452,0.08413395285606384,0.6368876099586487,1.3437378406524658
15,0.9725989699363708,0.08897612988948822,0.6599423885345459,1.352179765701294
16,0.973429262638092,0.08452362567186356,0.6599423885345459,1.384023904800415
17,0.9745364189147949,0.08054006099700928,0.6599423885345459,1.413317084312439
18,0.9778577089309692,0.07099022716283798,0.6570605039596558,1.4477856159210205
19,0.977027416229248,0.07439365237951279,0.651296854019165,1.4814273118972778
20,0.9795184135437012,0.06244635954499245,0.6599423885345459,1.5137217044830322
21,0.9784113168716431,0.0724935233592987,0.6657060384750366,1.5487093925476074
22,0.9786880612373352,0.06237126886844635,0.6599423885345459,1.5774691104888916
23,0.977027416229248,0.06841807812452316,0.6455331444740295,1.5787324905395508
24,0.9792416095733643,0.05817272886633873,0.6426513195037842,1.5979350805282593
